CruiseNumber,Date,Year,DOY,Source,Station,Zooplankton
,9/10/2013,,,,1,84.6185571
,9/10/2013,,,,2,50.76294356
,9/10/2013,,,,3,16.90763703
,9/10/2013,,,,4,
,9/17/2013,,,,1,21.95630862
,9/17/2013,,,,2,43.00252205
,9/17/2013,,,,3,55.89952172
,9/17/2013,,,,4,25.26786321
,10/1/2013,,,,1,
,10/1/2013,,,,2,24.41876248
,10/1/2013,,,,3,33.11049095
,10/1/2013,,,,4,76.84841166
,10/15/2013,,,,1,69.31453213
,10/15/2013,,,,2,94.34813473
,10/15/2013,,,,3,98.98075883
,10/15/2013,,,,4,59.45783464
,10/29/2013,,,,1,56.6387251
,10/29/2013,,,,2,37.06188743
,10/29/2013,,,,3,22.84293516
,10/29/2013,,,,4,42.90614218
,11/12/2013,,,,1,64.41020203
,11/12/2013,,,,2,31.30782312
,11/12/2013,,,,3,51.80815628
,11/12/2013,,,,4,25.14660864
Cruise 1,9/15/2015,,,COLBY,1,35.2905991
Cruise 1,9/15/2015,,,COLBY,2,55.24287723
Cruise 1,9/15/2015,,,COLBY,3,19.9976562
Cruise 1,9/15/2015,,,COLBY,4,
Cruise 2,9/22/2015,,,COLBY,1,20.3375367
Cruise 2,9/22/2015,,,COLBY,2,41.21146307
Cruise 2,9/22/2015,,,COLBY,3,
Cruise 2,9/22/2015,,,COLBY,4,30.132
Cruise 3,10/13/2015,,,COLBY,1,23.60807881
Cruise 3,10/13/2015,,,COLBY,2,23.15598319
Cruise 3,10/13/2015,,,COLBY,3,13.72904463
Cruise 3,10/13/2015,,,COLBY,4,30.13167153
Cruise 4,10/20/2015,,,COLBY,1,17.30635694
Cruise 4,10/20/2015,,,COLBY,2,26.13893125
Cruise 4,10/20/2015,,,COLBY,3,22.02672974
Cruise 4,10/20/2015,,,COLBY,4,
Cruise 5,11/3/2015,,,COLBY,1,104.5081136
Cruise 5,11/3/2015,,,COLBY,2,24.42033026
Cruise 5,11/3/2015,,,COLBY,3,21.66865077
Cruise 5,11/3/2015,,,COLBY,4,30.86374574
Cruise 6,11/17/2015,,,COLBY,1,183.3342591
Cruise 6,11/17/2015,,,COLBY,2,47.20140325
Cruise 6,11/17/2015,,,COLBY,3,24.43696033
Cruise 6,11/17/2015,,,COLBY,4,35.74061409
Cruise 1,9/8/2016,,,COLBY,1,55.35317975
Cruise 1,9/8/2016,,,COLBY,2,47.99889708
Cruise 1,9/8/2016,,,COLBY,3,31.99635257
Cruise 1,9/8/2016,,,COLBY,4,23.17906239
Cruise 2,9/20/2016,,,COLBY,1,43.73952318
Cruise 2,9/20/2016,,,COLBY,2,57.77049352
Cruise 2,9/20/2016,,,COLBY,3,63.51089164
Cruise 2,9/20/2016,,,COLBY,4,69.9478194
Cruise 3,10/4/2016,,,COLBY,1,47.95554572
Cruise 3,10/4/2016,,,COLBY,2,56.57584901
Cruise 3,10/4/2016,,,COLBY,3,77.82040097
Cruise 3,10/4/2016,,,COLBY,4,82.14699021
Cruise 4,10/19/2016,,,COLBY,1,70.44630054
Cruise 4,10/19/2016,,,COLBY,2,25.24598232
Cruise 4,10/19/2016,,,COLBY,3,21.29988287
Cruise 4,10/19/2016,,,COLBY,4,11.69284514
Cruise 5,11/1/2016,,,COLBY,1,58.2646651
Cruise 5,11/1/2016,,,COLBY,2,81.35151864
Cruise 5,11/1/2016,,,COLBY,3,28.44360555
Cruise 5,11/1/2016,,,COLBY,4,25.37886032
Cruise 1,9/12/2017,,,COLBY,1,
Cruise 2,9/12/2017,,,COLBY,2,
Cruise 3,9/12/2017,,,COLBY,3,
Cruise 4,9/12/2017,,,COLBY,4,
Cruise 2,9/21/2017,,,COLBY,1,61.345
Cruise 2,9/21/2017,,,COLBY,2,137.038
Cruise 3,10/5/2017,,,COLBY,1,93.478
Cruise 3,10/5/2017,,,COLBY,2,54.447
Cruise 3,10/5/2017,,,COLBY,3,72.36
Cruise 3,10/5/2017,,,COLBY,4,11.856
Cruise 4,10/19/2017,,,COLBY,3,39.696
Cruise 4,10/19/2017,,,COLBY,4,31.205
Cruise 5,11/9/2017,,,COLBY,1,34.245
Cruise 5,11/9/2017,,,COLBY,2,
Cruise 5,11/9/2017,,,COLBY,3,17.514
Cruise 5,11/9/2017,,,COLBY,4,
Cruise 6,11/30/2017,,,COLBY,1,16.31
Cruise 6,11/30/2017,,,COLBY,2,40.668
Cruise 6,11/30/2017,,,COLBY,3,18.538
Cruise 6,11/30/2017,,,COLBY,4,41.58
Cruise 1,9/6/2018,,,COLBY,1,49.553
Cruise 1,9/6/2018,,,COLBY,2,69.825
Cruise 1,9/6/2018,,,COLBY,3,14.835
Cruise 1,9/6/2018,,,COLBY,4,22.386
Cruise 2,9/19/2018,,,COLBY,1,40.051
Cruise 2,9/19/2018,,,COLBY,2,47.824
Cruise 2,9/19/2018,,,COLBY,3,18.316
Cruise 2,9/19/2018,,,COLBY,4,51.805
Cruise 3,9/27/2018,,,COLBY,1,43.014
Cruise 3,9/27/2018,,,COLBY,2,47.732
Cruise 3,9/27/2018,,,COLBY,3,26.556
Cruise 3,9/27/2018,,,COLBY,4,61.422
Cruise 4,10/18/2018,,,COLBY,1,26.823
Cruise 4,10/18/2018,,,COLBY,2,40.899
Cruise 5,10/30/2018,,,COLBY,1,35.575
Cruise 5,10/30/2018,,,COLBY,2,98.397
Cruise 5,10/30/2018,,,COLBY,3,35.953
Cruise 5,10/30/2018,,,COLBY,4,26.953
